学科,分层,期刊全称,ISO缩写,2025 JIF,最佳JIF分区,最佳JCI分区,年发文量,易投指数0-5,出版商分组,版面费参考(须官网核实)
ALLERGY,4-Q3,Postepy Dermatologii i Alergologii,POSTEP DERM ALERGOL,1.8,Q3,Q3,61.0,1,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,4-Q3,Pediatric Allergy Immunology and Pulmonology,PEDIAT ALLER IMM PUL,1.3,Q3,Q3,26.0,0,SAGE,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000"
ALLERGY,4-Q3,European Annals of Allergy and Clinical Immunology,EUR ANN ALLERGY CLIN,2.5,Q3,Q2,19.0,0,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,4-Q3,Current Treatment Options in Allergy,CURR TREAT OPTION AL,1.7,Q3,Q3,0.0,0,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
ANATOMY & MORPHOLOGY,2-Q1且IF小于5,TISSUE & CELL,TISSUE CELL,3.1,Q1,Q1,520.0,4,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANATOMY & MORPHOLOGY,2-Q1且IF小于5,Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,ANAT REC,2.6,Q1,Q1,161.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANATOMY & MORPHOLOGY,2-Q1且IF小于5,Brain Structure & Function,BRAIN STRUCT FUNCT,3.0,Q1,Q1,129.0,2,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANATOMY & MORPHOLOGY,2-Q1且IF小于5,ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,ANN ANAT,2.4,Q1,Q1,88.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANATOMY & MORPHOLOGY,2-Q1且IF小于5,CLINICAL ANATOMY,CLIN ANAT,2.4,Q1,Q1,74.0,1,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANATOMY & MORPHOLOGY,2-Q1且IF小于5,Frontiers in Neuroanatomy,FRONT NEUROANAT,2.4,Q1,Q2,41.0,0,Frontiers,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）"
ANATOMY & MORPHOLOGY,3-Q2,SURGICAL AND RADIOLOGIC ANATOMY,SURG RADIOL ANAT,1.5,Q2,Q2,215.0,3,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANATOMY & MORPHOLOGY,3-Q2,MICROSCOPY RESEARCH AND TECHNIQUE,MICROSC RES TECHNIQ,2.1,Q2,Q1,206.0,3,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANATOMY & MORPHOLOGY,3-Q2,JOURNAL OF ANATOMY,J ANAT,2.2,Q2,Q1,159.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANATOMY & MORPHOLOGY,3-Q2,DEVELOPMENTAL DYNAMICS,DEV DYNAM,1.5,Q2,Q3,74.0,1,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANATOMY & MORPHOLOGY,3-Q2,ANATOMICAL SCIENCE INTERNATIONAL,ANAT SCI INT,1.7,Q2,Q3,69.0,1,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANATOMY & MORPHOLOGY,3-Q2,Translational Research in Anatomy,TRANSL RES ANAT,1.5,Q2,Q2,57.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANATOMY & MORPHOLOGY,3-Q2,MORPHOLOGIE,MORPHOLOGIE,1.5,Q2,Q2,34.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANATOMY & MORPHOLOGY,3-Q2,CELLS TISSUES ORGANS,CELLS TISSUES ORGANS,2.2,Q2,Q2,22.0,0,Karger,"因刊而异，常见 USD 2,500-3,800"
ANATOMY & MORPHOLOGY,4-Q3,FOLIA MORPHOLOGICA,FOLIA MORPHOL,1.4,Q3,Q2,88.0,1,其他,请查期刊官网 Author / Open Access 页面
ANATOMY & MORPHOLOGY,4-Q3,JOURNAL OF MORPHOLOGY,J MORPHOL,1.4,Q3,Q2,84.0,1,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANATOMY & MORPHOLOGY,4-Q3,Anatomy & Cell Biology,ANAT CELL BIOL,1.1,Q3,Q4,68.0,1,其他,请查期刊官网 Author / Open Access 页面
ANATOMY & MORPHOLOGY,4-Q3,ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,1.1,Q3,Q3,45.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANATOMY & MORPHOLOGY,4-Q3,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,APPL IMMUNOHISTO M M,1.3,Q3,Q3,40.0,0,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANDROLOGY,2-Q1且IF小于5,Andrology,ANDROLOGY-US,3.4,Q1,Q1,128.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANDROLOGY,2-Q1且IF小于5,World Journal of Mens Health,WORLD J MENS HEALTH,4.3,Q1,Q1,63.0,1,其他,请查期刊官网 Author / Open Access 页面
ANDROLOGY,3-Q2,ASIAN JOURNAL OF ANDROLOGY,ASIAN J ANDROL,3.0,Q2,Q1,54.0,1,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANDROLOGY,3-Q2,Basic and Clinical Andrology,BASIC CLIN ANDROL,2.3,Q2,Q3,43.0,0,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
ANDROLOGY,4-Q3,Translational Andrology and Urology,TRANSL ANDROL UROL,1.9,Q3,Q2,278.0,3,其他,请查期刊官网 Author / Open Access 页面
ANDROLOGY,4-Q3,Systems Biology in Reproductive Medicine,SYST BIOL REPROD MED,2.0,Q3,Q2,18.0,0,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
ANESTHESIOLOGY,1-Q1且IF大于10,BRITISH JOURNAL OF ANAESTHESIA,BRIT J ANAESTH,10.3,Q1,Q1,230.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,2补-Q1且IF5到10,PAIN,PAIN,5.8,Q1,Q1,283.0,3,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,2-Q1且IF小于5,ANESTHESIA AND ANALGESIA,ANESTH ANALG,4.7,Q1,Q1,217.0,3,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,2-Q1且IF小于5,EUROPEAN JOURNAL OF PAIN,EUR J PAIN,3.8,Q1,Q1,146.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANESTHESIOLOGY,2补-Q1且IF5到10,ANESTHESIOLOGY,ANESTHESIOLOGY,9.4,Q1,Q1,134.0,2,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,2补-Q1且IF5到10,Journal of Clinical Anesthesia,J CLIN ANESTH,6.0,Q1,Q1,128.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,2-Q1且IF小于5,REGIONAL ANESTHESIA AND PAIN MEDICINE,REGION ANESTH PAIN M,4.0,Q1,Q1,127.0,3,BMJ,"BMJ Open约GBP 2,175；旗舰刊更高"
ANESTHESIOLOGY,2-Q1且IF小于5,Pain Reports,PAIN REP,4.3,Q1,Q1,118.0,2,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,2补-Q1且IF5到10,ANAESTHESIA,ANAESTHESIA,7.4,Q1,Q1,93.0,1,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANESTHESIOLOGY,2补-Q1且IF5到10,Anaesthesia Critical Care & Pain Medicine,ANAESTH CRIT CARE PA,5.4,Q1,Q1,93.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,2补-Q1且IF5到10,EUROPEAN JOURNAL OF ANAESTHESIOLOGY,EUR J ANAESTH,7.8,Q1,Q1,91.0,1,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,2-Q1且IF小于5,Canadian Journal of Anesthesia-Journal canadien d anesthesie,CAN J ANESTH,3.6,Q1,Q1,87.0,1,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANESTHESIOLOGY,2-Q1且IF小于5,PAIN MEDICINE,PAIN MED,4.0,Q1,Q1,77.0,1,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
ANESTHESIOLOGY,2-Q1且IF小于5,Minerva Anestesiologica,MINERVA ANESTESIOL,3.5,Q1,Q2,66.0,1,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,2-Q1且IF小于5,BJA Open,BJA OPEN,3.5,Q1,Q2,57.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,2-Q1且IF小于5,Journal of Anesthesia Analgesia and Critical Care,J ANESTH ANALG CRIT,4.1,Q1,Q2,46.0,0,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
ANESTHESIOLOGY,2-Q1且IF小于5,Korean Journal of Anesthesiology,KOREAN J ANESTHESIOL,4.0,Q1,Q1,45.0,0,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,2-Q1且IF小于5,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,J NEUROSURG ANESTH,2.7,Q1,Q1,39.0,0,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,2-Q1且IF小于5,Anesthesia and Pain Medicine,ANESTH PAIN MED,3.6,Q1,Q2,26.0,0,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,2补-Q1且IF5到10,Anesthesiology and Perioperative Science,ANESTHES PERIOP SCI,7.5,Q1,Q1,25.0,0,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
ANESTHESIOLOGY,3-Q2,BMC Anesthesiology,BMC ANESTHESIOL,3.2,Q2,Q1,625.0,5,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
ANESTHESIOLOGY,3-Q2,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,2.6,Q2,Q2,262.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,3-Q2,ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,1.9,Q2,Q2,134.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANESTHESIOLOGY,3-Q2,Perioperative Medicine,PERIOPER MED-LONDON,2.5,Q2,Q2,124.0,3,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
ANESTHESIOLOGY,3-Q2,Current Opinion in Anesthesiology,CURR OPIN ANESTHESIO,2.8,Q2,Q2,119.0,2,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,3-Q2,Indian Journal of Anaesthesia,INDIAN J ANAESTH,2.2,Q2,Q2,117.0,2,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,3-Q2,JOURNAL OF CLINICAL MONITORING AND COMPUTING,J CLIN MONIT COMPUT,2.6,Q2,Q2,108.0,2,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANESTHESIOLOGY,3-Q2,INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,INT J OBSTET ANESTH,3.0,Q2,Q2,105.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,3-Q2,Journal of Anesthesia,J ANESTH,2.8,Q2,Q1,98.0,1,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANESTHESIOLOGY,3-Q2,Pain Physician,PAIN PHYSICIAN,3.2,Q2,Q2,87.0,1,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,3-Q2,CLINICAL JOURNAL OF PAIN,CLIN J PAIN,3.2,Q2,Q2,60.0,1,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,3-Q2,Pain Practice,PAIN PRACT,2.7,Q2,Q2,47.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANESTHESIOLOGY,3-Q2,BJA Education,BJA EDUC,2.7,Q2,Q1,44.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,3-Q2,Brazilian Journal of Anesthesiology,BRAZ J ANESTHESIOL,2.2,Q2,Q2,40.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,3-Q2,Best Practice & Research-Clinical Anaesthesiology,BEST PRAC RES-CL ANA,3.3,Q2,Q1,36.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,3-Q2,Anaesthesiology Intensive Therapy,ANAESTH INTENSIVE TH,2.3,Q2,Q2,30.0,0,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,4-Q3,Perioperative Care and Operating Room Management,PERIOPER CARE OPER R,1.0,Q3,Q3,124.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,4-Q3,PEDIATRIC ANESTHESIA,PEDIATR ANESTH,1.6,Q3,Q2,105.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANESTHESIOLOGY,4-Q3,Saudi Journal of Anaesthesia,SAUDI J ANAESTH,1.2,Q3,Q3,88.0,1,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,4-Q3,Revista Espanola de Anestesiologia y Reanimacion,REV ESP ANEST REANIM,1.3,Q3,Q3,77.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ANESTHESIOLOGY,4-Q3,ANAESTHESIA AND INTENSIVE CARE,ANAESTH INTENS CARE,1.5,Q3,Q3,69.0,1,SAGE,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000"
ANESTHESIOLOGY,4-Q3,JA Clinical Reports,JA CLIN REP,1.2,Q3,Q3,63.0,1,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANESTHESIOLOGY,4-Q3,Annals of Cardiac Anaesthesia,ANN CARD ANAESTH,1.4,Q3,Q3,60.0,1,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,4-Q3,Anaesthesiologie,ANAESTHESIOLOGIE,1.1,Q3,Q3,58.0,1,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
ANESTHESIOLOGY,4-Q3,JOURNAL OF PAIN & PALLIATIVE CARE PHARMACOTHERAPY,J PAIN PALLIAT CARE,1.3,Q3,Q3,43.0,0,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
ANESTHESIOLOGY,4-Q3,Turkish Journal of Anaesthesiology and Reanimation,TURK J ANAESTHESIOL,1.2,Q3,Q3,42.0,0,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,4-Q3,Anaesthesia Reports,ANAESTH REP,1.1,Q3,Q3,37.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANESTHESIOLOGY,4-Q3,Anesthesiology Research and Practice,ANESTHESIOL RES PRAC,1.5,Q3,Q3,36.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ANESTHESIOLOGY,4-Q3,Journal of Dental Anesthesia and Pain Medicine,J DENT ANESTH PAIN M,1.8,Q3,Q3,32.0,0,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,4-Q3,Seminars in Cardiothoracic and Vascular Anesthesia,SEMIN CARDIOTHORAC V,1.1,Q3,Q3,17.0,0,SAGE,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000"
ANESTHESIOLOGY,4-Q3,Local and Regional Anesthesia,LOCAL REG ANESTH,1.8,Q3,Q3,16.0,0,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,4-Q3,Journal of Oral and Maxillofacial Anesthesia,J ORAL MAXIL ANESTH,0.9,Q3,Q4,5.0,0,其他,请查期刊官网 Author / Open Access 页面
ANESTHESIOLOGY,4-Q3,INTERNATIONAL ANESTHESIOLOGY CLINICS,INT ANESTHESIOL CLIN,1.3,Q3,Q3,1.0,0,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ANESTHESIOLOGY,4-Q3,Current Anesthesiology Reports,CURR ANESTHESIOL REP,0.9,Q3,Q3,0.0,0,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,J ACOUST SOC AM,2.6,Q1,Q2,721.0,4,其他,请查期刊官网 Author / Open Access 页面
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,JOURNAL OF VOICE,J VOICE,2.3,Q1,Q1,354.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,J SPEECH LANG HEAR R,2.5,Q1,Q1,340.0,3,其他,请查期刊官网 Author / Open Access 页面
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,2.5,Q1,Q1,215.0,3,其他,请查期刊官网 Author / Open Access 页面
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,HEARING RESEARCH,HEARING RES,3.0,Q1,Q1,206.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,2.5,Q1,Q2,143.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,EAR AND HEARING,EAR HEARING,3.3,Q1,Q1,139.0,2,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,LANG SPEECH HEAR SER,3.0,Q1,Q1,74.0,1,其他,请查期刊官网 Author / Open Access 页面
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,Trends in Hearing,TRENDS HEAR,3.4,Q1,Q1,65.0,1,SAGE,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,2-Q1且IF小于5,JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,2.8,Q1,Q1,58.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3-Q2,Audiology Research,AUDIOL RES,1.7,Q2,Q3,142.0,3,MDPI,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3-Q2,INTERNATIONAL JOURNAL OF AUDIOLOGY,INT J AUDIOL,2.0,Q2,Q2,130.0,2,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3-Q2,APHASIOLOGY,APHASIOLOGY,2.2,Q2,Q2,105.0,2,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3-Q2,American Journal of Audiology,AM J AUDIOL,1.7,Q2,Q2,90.0,1,其他,请查期刊官网 Author / Open Access 页面
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3-Q2,BRAIN AND LANGUAGE,BRAIN LANG,2.4,Q2,Q2,83.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3-Q2,JOURNAL OF COMMUNICATION DISORDERS,J COMMUN DISORD,2.2,Q2,Q2,74.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
