序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
11,1-Q1且IF大于10,4,Advanced Healthcare Materials,ADV HEALTHC MATER,2192-2640,2192-2659,11.0,11.4,Q1,12/130,Q1,Q1,1.39,91.2,1116.0,58168.0,"ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS","ENGINEERING, BIOMEDICAL(JIF Q1/JCI Q1) | MATERIALS SCIENCE, BIOMATERIALS(JIF Q1/JCI Q1)",WILEY-V C H VERLAG GMBH,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Advanced+Healthcare+Materials+aims+scope+instructions+for+authors+APC
12,1-Q1且IF大于10,4,BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,0956-5663,1873-4235,11.8,11.1,Q1,2/81,Q1,Q1,2.19,95.3,1011.0,85537.0,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(JIF Q1/JCI Q1),ELSEVIER ADVANCED TECHNOLOGY,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=BIOSENSORS+&+BIOELECTRONICS+aims+scope+instructions+for+authors+APC
13,1-Q1且IF大于10,4,Alzheimers & Dementia,ALZHEIMERS DEMENT,1552-5260,1552-5279,12.8,14.3,Q1,5/296,Q1,Q1,3.27,98.5,963.0,47030.0,CLINICAL NEUROLOGY,CLINICAL NEUROLOGY(JIF Q1/JCI Q1),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Alzheimers+&+Dementia+aims+scope+instructions+for+authors+APC
14,1-Q1且IF大于10,4,JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,0168-3659,1873-4995,12.4,13.1,Q1,12/356,Q1,Q1,2.25,96.8,929.0,85834.0,PHARMACOLOGY & PHARMACY,PHARMACOLOGY & PHARMACY(JIF Q1/JCI Q1),ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=JOURNAL+OF+CONTROLLED+RELEASE+aims+scope+instructions+for+authors+APC
15,1-Q1且IF大于10,4,Cell Death & Disease,CELL DEATH DIS,2041-4889,2041-4889,12.2,11.4,Q1,27/207,Q1,Q1,1.43,87.2,856.0,85182.0,CELL BIOLOGY,CELL BIOLOGY(JIF Q1/JCI Q1),SPRINGERNATURE,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=Cell+Death+&+Disease+aims+scope+instructions+for+authors+APC
16,1-Q1且IF大于10,4,SCIENCE,SCIENCE,0036-8075,1095-9203,47.3,51.6,Q1,3/140,Q1,Q1,8.74,98.2,772.0,831162.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),AMER ASSOC ADVANCEMENT SCIENCE,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=SCIENCE+aims+scope+instructions+for+authors+APC
17,1-Q1且IF大于10,4,BIOMATERIALS,BIOMATERIALS,0142-9612,1878-5905,13.6,14.0,Q1,8/130,Q1,Q1,2.34,94.2,726.0,110718.0,"ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS","ENGINEERING, BIOMEDICAL(JIF Q1/JCI Q1) | MATERIALS SCIENCE, BIOMATERIALS(JIF Q1/JCI Q1)",ELSEVIER SCI LTD,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=BIOMATERIALS+aims+scope+instructions+for+authors+APC
18,1-Q1且IF大于10,4,npj Digital Medicine,NPJ DIGIT MED,2398-6352,2398-6352,18.0,19.7,Q1,1/194,Q1,Q1,3.72,99.7,713.0,25262.0,HEALTH CARE SCIENCES & SERVICES; MEDICAL INFORMATICS,HEALTH CARE SCIENCES & SERVICES(JIF Q1/JCI Q1) | MEDICAL INFORMATICS(JIF Q1/JCI Q1),NATURE PORTFOLIO,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=npj+Digital+Medicine+aims+scope+instructions+for+authors+APC
19,1-Q1且IF大于10,4,Acta Biomaterialia,ACTA BIOMATER,1742-7061,1878-7568,10.4,11.0,Q1,14/130,Q1,Q1,1.68,89.6,605.0,71730.0,"ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS","ENGINEERING, BIOMEDICAL(JIF Q1/JCI Q1) | MATERIALS SCIENCE, BIOMATERIALS(JIF Q1/JCI Q1)",ELSEVIER SCI LTD,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=Acta+Biomaterialia+aims+scope+instructions+for+authors+APC
20,1-Q1且IF大于10,4,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,0021-9738,1558-8238,14.3,15.0,Q1,10/191,Q1,Q1,2.93,95.0,514.0,120571.0,"MEDICINE, RESEARCH & EXPERIMENTAL","MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q1/JCI Q1)",AMER SOC CLINICAL INVESTIGATION INC,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=JOURNAL+OF+CLINICAL+INVESTIGATION+aims+scope+instructions+for+authors+APC
21,1-Q1且IF大于10,4,EClinicalMedicine,ECLINICALMEDICINE,,2589-5370,12.8,11.8,Q1,10/336,Q1,Q1,3.07,97.2,513.0,28691.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=EClinicalMedicine+aims+scope+instructions+for+authors+APC
22,1-Q1且IF大于10,4,Cell Communication and Signaling,CELL COMMUN SIGNAL,,1478-811X,11.6,11.7,Q1,29/207,Q1,Q1,1.12,86.2,475.0,21707.0,CELL BIOLOGY,CELL BIOLOGY(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Cell+Communication+and+Signaling+aims+scope+instructions+for+authors+APC
23,1-Q1且IF大于10,4,Cardiovascular Diabetology,CARDIOVASC DIABETOL,,1475-2840,15.6,13.6,Q1,7/237,Q1,Q1,3.17,97.3,426.0,28480.0,CARDIAC & CARDIOVASCULAR SYSTEMS; ENDOCRINOLOGY & METABOLISM,CARDIAC & CARDIOVASCULAR SYSTEMS(JIF Q1/JCI Q1) | ENDOCRINOLOGY & METABOLISM(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Cardiovascular+Diabetology+aims+scope+instructions+for+authors+APC
24,1-Q1且IF大于10,4,Journal of Neuroinflammation,J NEUROINFLAMM,,1742-2094,11.5,12.9,Q1,13/330,Q1,Q1,2.4,96.2,299.0,37393.0,IMMUNOLOGY; NEUROSCIENCES,IMMUNOLOGY(JIF Q1/JCI Q1) | NEUROSCIENCES(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Journal+of+Neuroinflammation+aims+scope+instructions+for+authors+APC
25,1-Q1且IF大于10,4,CRITICAL CARE,CRIT CARE,1364-8535,1466-609X,11.4,11.0,Q1,4/66,Q1,Q1,2.18,94.7,282.0,42427.0,CRITICAL CARE MEDICINE,CRITICAL CARE MEDICINE(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=CRITICAL+CARE+aims+scope+instructions+for+authors+APC
26,1-Q1且IF大于10,4,Microbiome,MICROBIOME,2049-2618,2049-2618,14.9,18.5,Q1,10/167,Q1,Q1,3.48,94.3,277.0,35895.0,MICROBIOLOGY,MICROBIOLOGY(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Microbiome+aims+scope+instructions+for+authors+APC
27,1-Q1且IF大于10,4,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,J EXP CLIN CANC RES,,1756-9966,14.3,14.3,Q1,23/333,Q1,Q1,2.72,93.2,270.0,33576.0,ONCOLOGY,ONCOLOGY(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=JOURNAL+OF+EXPERIMENTAL+&+CLINICAL+CANCER+RESEARCH+aims+scope+instructions+for+authors+APC
28,1-Q1且IF大于10,3,Journal of Advanced Research,J ADV RES,2090-1232,2090-1224,17.1,14.8,Q1,11/140,Q1,Q1,3.3,92.5,486.0,21564.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=Journal+of+Advanced+Research+aims+scope+instructions+for+authors+APC
29,1-Q1且IF大于10,3,Cell Death Discovery,CELL DEATH DISCOV,,2058-7716,10.4,9.3,Q1,30/207,Q1,Q1,1.08,85.7,465.0,21208.0,CELL BIOLOGY,CELL BIOLOGY(JIF Q1/JCI Q1),SPRINGERNATURE,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=Cell+Death+Discovery+aims+scope+instructions+for+authors+APC
30,1-Q1且IF大于10,3,Redox Biology,REDOX BIOL,2213-2317,2213-2317,16.2,15.9,Q1,11/328,Q1,Q1,2.9,96.8,460.0,46483.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q1/JCI Q1),ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=Redox+Biology+aims+scope+instructions+for+authors+APC
31,1-Q1且IF大于10,3,BLOOD,BLOOD,0006-4971,1528-0020,23.9,20.0,Q1,2/103,Q1,Q1,3.7,98.5,450.0,168805.0,HEMATOLOGY,HEMATOLOGY(JIF Q1/JCI Q1),ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=BLOOD+aims+scope+instructions+for+authors+APC
32,1-Q1且IF大于10,3,Bioactive Materials,BIOACT MATER,,2452-199X,23.6,22.2,Q1,3/130,Q1,Q1,3.92,98.1,448.0,43995.0,"ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS","ENGINEERING, BIOMEDICAL(JIF Q1/JCI Q1) | MATERIALS SCIENCE, BIOMATERIALS(JIF Q1/JCI Q1)",KEAI PUBLISHING LTD,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Bioactive+Materials+aims+scope+instructions+for+authors+APC
33,1-Q1且IF大于10,3,PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,1467-7644,1467-7652,12.8,14.7,Q1,8/285,Q1,Q1,2.29,96.4,438.0,25693.0,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(JIF Q1/JCI Q1),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=PLANT+BIOTECHNOLOGY+JOURNAL+aims+scope+instructions+for+authors+APC
34,1-Q1且IF大于10,3,EBioMedicine,EBIOMEDICINE,2352-3964,2352-3964,11.2,11.1,Q1,19/191,Q1,Q1,2.43,90.3,426.0,38337.0,"MEDICINE, RESEARCH & EXPERIMENTAL","MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q1/JCI Q1)",ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=EBioMedicine+aims+scope+instructions+for+authors+APC
35,1-Q1且IF大于10,3,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,1359-4184,1476-5578,10.4,12.2,Q1,5/293,Q1,Q1,2.08,98.5,423.0,45718.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; NEUROSCIENCES; PSYCHIATRY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q1/JCI Q1) | NEUROSCIENCES(JIF Q1/JCI Q1) | PSYCHIATRY(JIF Q1/JCI Q1),SPRINGERNATURE,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=MOLECULAR+PSYCHIATRY+aims+scope+instructions+for+authors+APC
36,1-Q1且IF大于10,3,CELL,CELL,0092-8674,1097-4172,45.1,50.7,Q1,3/328,Q1,Q1,6.92,99.2,421.0,329596.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q1/JCI Q1) | CELL BIOLOGY(JIF Q1/JCI Q1),CELL PRESS,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=CELL+aims+scope+instructions+for+authors+APC
37,1-Q1且IF大于10,3,Theranostics,THERANOSTICS,1838-7640,1838-7640,14.9,15.4,Q1,6/191,Q1,Q1,2.87,97.1,414.0,56535.0,"MEDICINE, RESEARCH & EXPERIMENTAL","MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q1/JCI Q1)",IVYSPRING INT PUBL,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Theranostics+aims+scope+instructions+for+authors+APC
38,1-Q1且IF大于10,3,IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,0278-0062,1558-254X,12.4,12.3,Q1,6/217,Q1,Q1,2.4,97.5,411.0,43138.0,"ENGINEERING, BIOMEDICAL; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","ENGINEERING, BIOMEDICAL(JIF Q1/JCI Q1) | RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(JIF Q1/JCI Q1)",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE,是,SCIE,混合/OA,因刊而异,中,https://open.ieee.org/,https://www.google.com/search?q=IEEE+TRANSACTIONS+ON+MEDICAL+IMAGING+aims+scope+instructions+for+authors+APC
39,1-Q1且IF大于10,3,CANCER LETTERS,CANCER LETT,0304-3835,1872-7980,11.8,10.8,Q1,29/333,Q1,Q1,2.36,91.4,409.0,47703.0,ONCOLOGY,ONCOLOGY(JIF Q1/JCI Q1),ELSEVIER IRELAND LTD,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=CANCER+LETTERS+aims+scope+instructions+for+authors+APC
40,1-Q1且IF大于10,3,CLINICAL CANCER RESEARCH,CLIN CANCER RES,1078-0432,1557-3265,10.9,11.6,Q1,33/333,Q1,Q1,2.34,90.2,406.0,95186.0,ONCOLOGY,ONCOLOGY(JIF Q1/JCI Q1),AMER ASSOC CANCER RESEARCH,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=CLINICAL+CANCER+RESEARCH+aims+scope+instructions+for+authors+APC
41,1-Q1且IF大于10,3,PHARMACOLOGICAL RESEARCH,PHARMACOL RES,1043-6618,1096-1186,12.2,11.8,Q1,13/356,Q1,Q1,2.82,96.5,394.0,43043.0,PHARMACOLOGY & PHARMACY,PHARMACOLOGY & PHARMACY(JIF Q1/JCI Q1),ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=PHARMACOLOGICAL+RESEARCH+aims+scope+instructions+for+authors+APC
42,1-Q1且IF大于10,3,Cell Reports Medicine,CELL REP MED,2666-3791,2666-3791,14.0,13.0,Q1,12/191,Q1,Q1,2.33,94.0,389.0,15797.0,"CELL BIOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL","CELL BIOLOGY(JIF Q1/JCI Q1) | MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q1/JCI Q1)",CELL PRESS,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Cell+Reports+Medicine+aims+scope+instructions+for+authors+APC
43,1-Q1且IF大于10,3,MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,14.0,14.9,Q1,4/217,Q1,Q1,2.67,98.4,387.0,32042.0,"ENGINEERING, BIOMEDICAL; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","ENGINEERING, BIOMEDICAL(JIF Q1/JCI Q1) | RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(JIF Q1/JCI Q1)",ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=MEDICAL+IMAGE+ANALYSIS+aims+scope+instructions+for+authors+APC
44,1-Q1且IF大于10,3,NATURE MEDICINE,NAT MED,1078-8956,1546-170X,52.5,52.5,Q1,1/191,Q1,Q1,9.88,99.7,346.0,154284.0,"BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL","BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q1/JCI Q1) | CELL BIOLOGY(JIF Q1/JCI Q1) | MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q1/JCI Q1)",NATURE PORTFOLIO,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=NATURE+MEDICINE+aims+scope+instructions+for+authors+APC
45,1-Q1且IF大于10,3,Research,RESEARCH-CHINA,2096-5168,2639-5274,12.9,11.2,Q1,13/140,Q1,Q1,2.01,91.1,342.0,12839.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),AMER ASSOC ADVANCEMENT SCIENCE,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Research+aims+scope+instructions+for+authors+APC
46,1-Q1且IF大于10,3,National Science Review,NATL SCI REV,2095-5138,2053-714X,18.1,18.2,Q1,8/140,Q1,Q1,2.74,94.6,336.0,25850.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),OXFORD UNIV PRESS,Oxford UP,是,SCIE,混合为主,订阅路线通常无APC；可选OA，费用因刊而异,中,https://academic.oup.com/pages/open-research/open-access,https://www.google.com/search?q=National+Science+Review+aims+scope+instructions+for+authors+APC
47,1-Q1且IF大于10,3,Gut Microbes,GUT MICROBES,1949-0976,1949-0984,15.3,16.7,Q1,9/167,Q1,Q1,2.8,94.9,312.0,29335.0,GASTROENTEROLOGY & HEPATOLOGY; MICROBIOLOGY,GASTROENTEROLOGY & HEPATOLOGY(JIF Q1/JCI Q1) | MICROBIOLOGY(JIF Q1/JCI Q1),TAYLOR & FRANCIS INC,Taylor & Francis,是,SCIE,混合为主,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500",中,https://authorservices.taylorandfrancis.com/publishing-open-access/,https://www.google.com/search?q=Gut+Microbes+aims+scope+instructions+for+authors+APC
