期刊全称,ISO缩写,ISSN,eISSN,标记原因,优先,备注,updated
American Journal of Lifestyle Medicine,AM J LIFESTYLE MED,1559-8276,1559-8284,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
American Journal of Medicine,AM J MED,0002-9343,1555-7162,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
American Journal of Nuclear Medicine and Molecular Imaging,AM J NUCL MED MOLEC,2160-8407,2160-8407,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AM J PHYS MED REHAB,0894-9115,1537-7385,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,AM J PREV MED,0749-3797,1873-2607,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073-449X,1535-4970,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF SPORTS MEDICINE,AM J SPORT MED,0363-5465,1552-3365,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,AM J TROP MED HYG,0002-9637,1476-1645,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Anaesthesia Critical Care & Pain Medicine,ANAESTH CRIT CARE PA,2352-5568,2352-5568,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Anesthesia and Pain Medicine,ANESTH PAIN MED,1975-5171,2383-7977,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Animal Models and Experimental Medicine,ANIM MODEL EXP MED,2096-5451,2576-2095,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS ACADEMY OF MEDICINE SINGAPORE,ANN ACAD MED SINGAP,,2972-4066,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of African Medicine,ANN AFR MED,1596-3519,0975-5764,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,ANN AGR ENV MED,1232-1966,1898-2263,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS OF EMERGENCY MEDICINE,ANN EMERG MED,0196-0644,1097-6760,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS OF FAMILY MEDICINE,ANN FAM MED,1544-1709,1544-1717,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of Geriatric Medicine and Research,ANN GERIATR MED RES,2508-4909,2508-4909,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,0003-4819,1539-3704,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of Laboratory Medicine,ANN LAB MED,2234-3806,2234-3814,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS OF MEDICINE,ANN MED,0785-3890,1365-2060,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of Medicine and Surgery,ANN MED SURG,2049-0801,2049-0801,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS OF NUCLEAR MEDICINE,ANN NUCL MED,0914-7187,1864-6433,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of Occupational and Environmental Medicine,ANN OCCUP ENVIRON ME,2052-4374,2052-4374,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of Physical and Rehabilitation Medicine,ANN PHYS REHABIL MED,1877-0657,1877-0665,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of Rehabilitation Medicine-ARM,ANN REHABIL MED-ARM,,2234-0653,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ANNALS OF SAUDI MEDICINE,ANN SAUDI MED,0256-4947,1319-9226,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annals of Thoracic Medicine,ANN THORAC MED,1817-1737,1998-3557,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Annual Review of Medicine,ANNU REV MED,0066-4219,1545-326X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Apunts Sports Medicine,APUNTS SPORTS MED,,2666-5069,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Archives of Academic Emergency Medicine,ARCH ACAD EMERG MED,,2645-4904,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Archives of Iranian Medicine,ARCH IRAN MED,1029-2977,1735-3947,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,0003-9985,1543-2165,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARCH PHYS MED REHAB,0003-9993,1532-821X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,2169-1401,2169-141X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Artificial Intelligence in Medicine,ARTIF INTELL MED,0933-3657,1873-2860,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Asia-Pacific Journal of Sports Medicine Arthroscopy Rehabilitation and Technology,ASIA-PAC J SPORT MED,2214-6873,2214-6873,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Asian Pacific Journal of Tropical Biomedicine,ASIAN PAC J TROP BIO,2221-1691,2588-9222,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Asian Pacific Journal of Tropical Medicine,ASIAN PAC J TROP MED,1995-7645,2352-4146,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Aspects of Molecular Medicine,ASPECTS MOL MED,,2949-6888,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Avicenna Journal of Phytomedicine,AVICENNA J PHYTOMEDI,2228-7930,2228-7949,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Behavioral Sleep Medicine,BEHAV SLEEP MED,1540-2002,1540-2010,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Bioelectronic Medicine,BIOELECTRON MED-US,,2332-8886,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Bioengineering & Translational Medicine,BIOENG TRANSL MED,,2380-6761,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Biomarkers in Medicine,BIOMARK MED,1752-0363,1752-0371,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BioMedicine-Taiwan,BIOMEDICINE-TAIWAN,2211-8020,2211-8039,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Biomedicines,BIOMEDICINES,,2227-9059,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Biomolecules and Biomedicine,BIOMOL BIOMED,2831-0896,2831-090X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BioPsychoSocial Medicine,BIOPSYCHOSOC MED,1751-0759,1751-0759,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Anesthesiology,BMC ANESTHESIOL,1471-2253,1471-2253,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC BIOINFORMATICS,BMC BIOINFORMATICS,1471-2105,1471-2105,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC BIOLOGY,BMC BIOL,,1741-7007,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC BIOTECHNOLOGY,BMC BIOTECHNOL,,1472-6750,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC CANCER,BMC CANCER,,1471-2407,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Cardiovascular Disorders,BMC CARDIOVASC DISOR,1471-2261,1471-2261,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Complementary Medicine and Therapies,BMC COMPLEMENT MED,,2662-7671,BMC+Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Digital Health,BMC DIGIT HEALTH,,2731-684X,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Ecology and Evolution,BMC ECOL EVOL,,2730-7182,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC EMERGENCY MEDICINE,BMC EMERG MED,1471-227X,1471-227X,BMC+Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Endocrine Disorders,BMC ENDOCR DISORD,,1472-6823,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC GASTROENTEROLOGY,BMC GASTROENTEROL,,1471-230X,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Genomic Data,BMC GENOMIC DATA,,2730-6844,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC GENOMICS,BMC GENOMICS,1471-2164,1471-2164,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Geriatrics,BMC GERIATR,,1471-2318,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Global and Public Health,BMC GLOB PUBLIC HEAL,,2731-913X,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC HEALTH SERVICES RESEARCH,BMC HEALTH SERV RES,,1472-6963,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC IMMUNOLOGY,BMC IMMUNOL,,1471-2172,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC INFECTIOUS DISEASES,BMC INFECT DIS,,1471-2334,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Medical Ethics,BMC MED ETHICS,1472-6939,1472-6939,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Medical Genomics,BMC MED GENOMICS,,1755-8794,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC MEDICAL IMAGING,BMC MED IMAGING,1471-2342,1471-2342,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Medical Informatics and Decision Making,BMC MED INFORM DECIS,,1472-6947,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Medical Research Methodology,BMC MED RES METHODOL,,1471-2288,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Medicine,BMC MED,1741-7015,1741-7015,BMC+Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC MICROBIOLOGY,BMC MICROBIOL,1471-2180,1471-2180,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Molecular and Cell Biology,BMC MOL CELL BIOL,,2661-8850,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC MUSCULOSKELETAL DISORDERS,BMC MUSCULOSKEL DIS,,1471-2474,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Nephrology,BMC NEPHROL,,1471-2369,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Neurology,BMC NEUROL,,1471-2377,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC NEUROSCIENCE,BMC NEUROSCI,1471-2202,1471-2202,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC NURSING,BMC NURS,1472-6955,1472-6955,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Nutrition,BMC NUTR,,2055-0928,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Ophthalmology,BMC OPHTHALMOL,,1471-2415,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Oral Health,BMC ORAL HEALTH,1472-6831,1472-6831,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Palliative Care,BMC PALLIAT CARE,1472-684X,1472-684X,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Pediatrics,BMC PEDIATR,,1471-2431,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Pharmacology & Toxicology,BMC PHARMACOL TOXICO,,2050-6511,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Pregnancy and Childbirth,BMC PREGNANCY CHILDB,,1471-2393,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Primary Care,BMC PRIM CARE,,2731-4553,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Psychiatry,BMC PSYCHIATRY,,1471-244X,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC PUBLIC HEALTH,BMC PUBLIC HEALTH,,1471-2458,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Pulmonary Medicine,BMC PULM MED,1471-2466,1471-2466,BMC+Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Research Notes,BMC RES NOTES,,1756-0500,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Rheumatology,BMC RHEUMATOL,,2520-1026,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Sports Science Medicine and Rehabilitation,BMC SPORTS SCI MED R,2052-1847,2052-1847,BMC+Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Surgery,BMC SURG,,1471-2482,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Urology,BMC UROL,1471-2490,1471-2490,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMC Womens Health,BMC WOMENS HEALTH,,1472-6874,BMC,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMJ Evidence-Based Medicine,BMJ EVID-BASED MED,2515-446X,2515-4478,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMJ Medicine,BMJ MED,,2754-0413,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BMJ Open Sport & Exercise Medicine,BMJ OPEN SPORT EXERC,,2055-7647,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Breastfeeding Medicine,BREASTFEED MED,1556-8253,1556-8342,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BRITISH JOURNAL OF HOSPITAL MEDICINE,BRIT J HOSP MED,1750-8460,1759-7390,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,0306-3674,1473-0480,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Canadian Journal of Emergency Medicine,CAN J EMERG MED,1481-8035,1481-8043,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Canadian Journal of Rural Medicine,CAN J RURAL MED,1203-7796,1488-237X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Cancer Biology & Medicine,CANCER BIOL MED,2095-3941,2095-3941,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Cancer Medicine,CANCER MED-US,2045-7634,2045-7634,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CardioRenal Medicine,CARDIORENAL MED,1664-3828,1664-5502,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Cardiovascular Revascularization Medicine,CARDIOVASC REVASCULA,1553-8389,1878-0938,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Case Reports in Medicine,CASE REP MED,1687-9627,1687-9635,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Caspian Journal of Internal Medicine,CASP J INTERN MED,2008-6164,2008-6172,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Cell Reports Medicine,CELL REP MED,2666-3791,2666-3791,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Chinese Herbal Medicines,CHIN HERB MED,1674-6384,1674-6384,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Chinese Journal of Integrative Medicine,CHIN J INTEGR MED,1672-0415,1993-0402,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Chinese Journal of Natural Medicines,CHIN J NAT MEDICINES,2095-6975,1875-5364,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Chinese Medical Journal Pulmonary and Critical Care Medicine,CHIN MED J PULM CRIT,2097-1982,2772-5588,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Chinese Medicine,CHIN MED-UK,1749-8546,1749-8546,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Circulation-Genomic and Precision Medicine,CIRC-GENOM PRECIS ME,2574-8300,2574-8300,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLEVELAND CLINIC JOURNAL OF MEDICINE,CLEV CLIN J MED,0891-1150,1939-2869,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical and Experimental Emergency Medicine,CLIN EXP EMERG MED,2383-4625,2383-4625,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICAL AND EXPERIMENTAL MEDICINE,CLIN EXP MED,1591-8890,1591-9528,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical and Experimental Reproductive Medicine-CERM,CLIN EXP REPROD MED,2233-8233,2233-8241,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical and Translational Medicine,CLIN TRANSL MED,2001-1326,2001-1326,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,CLIN CHEM LAB MED,1434-6621,1437-4331,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICAL JOURNAL OF SPORT MEDICINE,CLIN J SPORT MED,1050-642X,1536-3724,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICAL MEDICINE,CLIN MED,1470-2118,1473-4893,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical Medicine & Research,CLIN MED RES,1539-4182,1554-6179,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical Medicine Insights-Arthritis and Musculoskeletal Disorders,CLIN MED INSIGHTS-AR,1179-5441,1179-5441,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical Medicine Insights-Cardiology,CLIN MED INSIGHTS-CA,1179-5468,1179-5468,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical Medicine Insights-Case Reports,CLIN MED INSIGHT-CAS,1179-5476,1179-5476,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical Medicine Insights-Endocrinology and Diabetes,CLIN MED INSIGHTS-EN,1179-5514,1179-5514,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical Medicine Insights-Oncology,CLIN MED INSIGHTS-ON,,1179-5549,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Clinical Medicine Insights-Pediatrics,CLIN MED INSIGHTS-PE,1179-5565,1179-5565,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICAL NUCLEAR MEDICINE,CLIN NUCL MED,0363-9762,1536-0229,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICS IN CHEST MEDICINE,CLIN CHEST MED,0272-5231,1557-8216,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICS IN GERIATRIC MEDICINE,CLIN GERIATR MED,0749-0690,1879-8853,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICS IN LABORATORY MEDICINE,CLIN LAB MED,0272-2712,1557-9832,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CLINICS IN SPORTS MEDICINE,CLIN SPORT MED,0278-5919,1556-228X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Cold Spring Harbor Perspectives in Medicine,CSH PERSPECT MED,2157-1422,2157-1422,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Communications Medicine,COMMUN MED-LONDON,2730-664X,2730-664X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
COMPLEMENTARY THERAPIES IN MEDICINE,COMPLEMENT THER MED,0965-2299,1873-6963,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Computer Methods and Programs in Biomedicine,COMPUT METH PROG BIO,0169-2607,1872-7565,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Contraception and Reproductive Medicine,CONTRACEP REPROD MED,,2055-7426,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CRITICAL CARE MEDICINE,CRIT CARE MED,0090-3493,1530-0293,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CULTURE MEDICINE AND PSYCHIATRY,CULT MED PSYCHIAT,0165-005X,1573-076X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CURRENT MOLECULAR MEDICINE,CURR MOL MED,1566-5240,1875-5666,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
CURRENT OPINION IN PULMONARY MEDICINE,CURR OPIN PULM MED,1070-5287,1531-6971,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Current Research in Translational Medicine,CURR RES TRANSL MED,2452-3186,2452-3186,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Current Reviews in Musculoskeletal Medicine,CURR REV MUSCULOSKE,1935-973X,1935-9748,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Current Sleep Medicine Reports,CURR SLEEP MED REP,,2198-6401,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Current Sports Medicine Reports,CURR SPORT MED REP,1537-890X,1537-8918,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Current Tropical Medicine Reports,CURR TROP MED REP,,2196-3045,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
